Homem,Acima45,Tamanho,Peso
1,0,4512,1530
1,0,3738,1297
1,0,4261,1335
1,0,3777,1282
1,0,4177,1590
1,0,3585,1300
1,0,3785,1400
1,0,3559,1255
1,0,3613,1355
1,0,3982,1375
1,0,3443,1340
1,0,3993,1380
1,0,3640,1355
1,0,4208,1522
1,0,3832,1208
1,0,3876,1405
1,0,3497,1358
1,0,3466,1292
1,0,3095,1340
1,0,4424,1400
1,0,3878,1357
1,0,4046,1287
1,0,3804,1275
1,0,3710,1270
1,0,4747,1635
1,0,4423,1505
1,0,4036,1490
1,0,4022,1485
1,0,3454,1310
1,0,4175,1420
1,0,3787,1318
1,0,3796,1432
1,0,4103,1364
1,0,4161,1405
1,0,4158,1432
1,0,3814,1207
1,0,3527,1375
1,0,3748,1350
1,0,3334,1236
1,0,3492,1250
1,0,3962,1350
1,0,3505,1320
1,0,4315,1525
1,0,3804,1570
1,0,3863,1340
1,0,4034,1422
1,0,4308,1506
1,0,3165,1215
1,0,3641,1311
1,0,3644,1300
1,0,3891,1224
1,0,3793,1350
1,0,4270,1335
1,0,4063,1390
1,0,4012,1400
1,0,3458,1225
1,0,3890,1310
1,1,4166,1560
1,1,3935,1330
1,1,3669,1222
1,1,3866,1415
1,1,3393,1175
1,1,4442,1330
1,1,4253,1485
1,1,3727,1470
1,1,3329,1135
1,1,3415,1310
1,1,3372,1154
1,1,4430,1510
1,1,4381,1415
1,1,4008,1468
1,1,3858,1390
1,1,4121,1380
1,1,4057,1432
1,1,3824,1240
1,1,3394,1195
1,1,3558,1225
1,1,3362,1188
1,1,3930,1252
1,1,3835,1315
1,1,3830,1245
1,1,3856,1430
1,1,3249,1279
1,1,3577,1245
1,1,3933,1309
1,1,3850,1412
1,1,3309,1120
1,1,3406,1220
1,1,3506,1280
1,1,3907,1440
1,1,4160,1370
1,1,3318,1192
1,1,3662,1230
1,1,3899,1346
1,1,3700,1290
1,1,3779,1165
1,1,3473,1240
1,1,3490,1132
1,1,3654,1242
1,1,3478,1270
1,1,3495,1218
1,1,3834,1430
1,1,3876,1588
1,1,3661,1320
1,1,3618,1290
1,1,3648,1260
1,1,4032,1425
1,1,3399,1226
1,1,3916,1360
1,1,4430,1620
1,1,3695,1310
1,1,3524,1250
1,1,3571,1295
1,1,3594,1290
1,1,3383,1290
1,1,3499,1275
1,1,3589,1250
1,1,3900,1270
1,1,4114,1362
1,1,3937,1300
1,1,3399,1173
1,1,4200,1256
1,1,4488,1440
1,1,3614,1180
1,1,4051,1306
1,1,3782,1350
1,1,3391,1125
1,1,3124,1165
1,1,4053,1312
1,1,3582,1300
1,1,3666,1270
1,1,3532,1335
1,1,4046,1450
1,1,3667,1310
0,0,2857,1027
0,0,3436,1235
0,0,3791,1260
0,0,3302,1165
0,0,3104,1080
0,0,3171,1127
0,0,3572,1270
0,0,3530,1252
0,0,3175,1200
0,0,3438,1290
0,0,3903,1334
0,0,3899,1380
0,0,3401,1140
0,0,3267,1243
0,0,3451,1340
0,0,3090,1168
0,0,3413,1322
0,0,3323,1249
0,0,3680,1321
0,0,3439,1192
0,0,3853,1373
0,0,3156,1170
0,0,3279,1265
0,0,3707,1235
0,0,4006,1302
0,0,3269,1241
0,0,3071,1078
0,0,3779,1520
0,0,3548,1460
0,0,3292,1075
0,0,3497,1280
0,0,3082,1180
0,0,3248,1250
0,0,3358,1190
0,0,3803,1374
0,0,3566,1306
0,0,3145,1202
0,0,3503,1240
0,0,3571,1316
0,0,3724,1280
0,0,3615,1350
0,0,3203,1180
0,0,3609,1210
0,0,3561,1127
0,0,3979,1324
0,0,3533,1210
0,0,3689,1290
0,0,3158,1100
0,0,4005,1280
0,0,3181,1175
0,0,3479,1160
0,0,3642,1205
0,0,3632,1163
0,1,3069,1022
0,1,3394,1243
0,1,3703,1350
0,1,3165,1237
0,1,3354,1204
0,1,3000,1090
0,1,3687,1355
0,1,3556,1250
0,1,2773,1076
0,1,3058,1120
0,1,3344,1220
0,1,3493,1240
0,1,3297,1220
0,1,3360,1095
0,1,3228,1235
0,1,3277,1105
0,1,3851,1405
0,1,3067,1150
0,1,3692,1305
0,1,3402,1220
0,1,3995,1296
0,1,3318,1175
0,1,2720,955
0,1,2937,1070
0,1,3580,1320
0,1,2939,1060
0,1,2989,1130
0,1,3586,1250
0,1,3156,1225
0,1,3246,1180
0,1,3170,1178
0,1,3268,1142
0,1,3389,1130
0,1,3381,1185
0,1,2864,1012
0,1,3740,1280
0,1,3479,1103
0,1,3647,1408
0,1,3716,1300
0,1,3284,1246
0,1,4204,1380
0,1,3735,1350
0,1,3218,1060
0,1,3685,1350
0,1,3704,1220
0,1,3214,1110
0,1,3394,1215
0,1,3233,1104
0,1,3352,1170
0,1,3391,1120
